log_id,student_id,job_id,match_score_served,skill_score_served,skill_gap,verified_skills,years_exp,skew
L004458,S0172,J017,0.3161,2.3,-1.01,5,0.5,0.0199
L004459,S0072,J036,0.5726,2.739,-0.01,3,2.8,0.0974
L004460,S0251,J039,0.6983,4.003,0.37,4,1.5,0.0657
L004461,S0249,J004,0.5132,3.061,0.12,8,1.8,0.0813
L004462,S0109,J014,0.3673,3.658,-1.27,2,2.6,0.0554
L004463,S0039,J025,0.7403,3.631,0.67,6,2.4,0.1225
L004464,S0281,J016,0.4238,1.45,-0.95,3,0.0,0.0
L004465,S0251,J002,0.7687,4.029,0.77,4,1.5,0.117
L004466,S0055,J028,0.7465,2.71,0.58,8,2.6,0.0609
L004467,S0155,J019,0.7807,3.449,0.84,4,1.8,0.0188
L004468,S0234,J002,0.3418,2.54,-0.66,4,2.9,0.0
L004469,S0091,J020,0.6507,2.621,0.28,8,1.6,0.0825
L004470,S0038,J033,0.362,2.008,-0.63,4,1.1,0.0755
L004471,S0211,J045,0.3701,2.18,-1.57,4,0.9,0.0996
L004472,S0262,J000,0.4243,2.768,-0.47,7,0.4,0.0763
L004473,S0183,J047,0.7204,4.039,0.4,2,0.8,0.0773
L004474,S0068,J014,0.1467,2.89,-2.01,6,2.1,0.0
L004475,S0202,J048,0.3056,2.006,-1.34,4,2.1,0.0917
L004476,S0116,J028,0.5528,1.246,-0.9,3,2.9,0.0925
L004477,S0128,J005,0.2109,2.22,-1.28,3,1.7,0.0
L004478,S0031,J019,0.4763,1.688,-0.95,3,2.7,0.0752
L004479,S0195,J017,0.5292,3.2,-0.1,8,2.6,0.0
L004480,S0121,J016,0.5189,2.27,-0.13,3,2.1,0.0
L004481,S0240,J025,0.6961,3.247,0.3,4,1.5,0.0935
L004482,S0220,J004,0.6213,3.85,0.95,8,2.3,0.0
L004483,S0142,J049,0.55,2.223,0.28,7,3.5,0.0854
L004484,S0136,J002,0.5739,3.024,-0.21,8,0.6,0.0683
L004485,S0265,J003,1.0,4.432,2.5,6,2.2,0.0648
L004486,S0243,J044,0.2643,2.62,-1.28,5,2.0,0.0
L004487,S0246,J038,0.5924,1.347,-0.49,6,2.7,0.0745
L004488,S0216,J003,0.7334,3.31,1.41,8,2.5,0.0
L004489,S0114,J027,0.4525,2.84,-0.6,7,1.4,0.0801
L004490,S0056,J041,0.1509,1.45,-1.85,4,1.7,0.0
L004491,S0236,J045,0.4532,2.649,-1.1,7,2.3,0.097
L004492,S0101,J032,0.7477,3.353,0.61,5,1.3,0.0869
L004493,S0110,J003,0.9753,4.247,2.3,3,1.4,0.0935
L004494,S0061,J021,0.3777,3.489,-1.14,2,1.2,0.0574
L004495,S0103,J030,0.3956,3.65,-0.65,5,1.4,0.0
L004496,S0009,J010,0.3366,2.071,-1.24,8,1.9,0.0228
L004497,S0045,J049,0.7261,3.253,1.32,4,1.4,0.0657
L004498,S0149,J015,0.6594,3.268,0.33,5,0.7,0.0766
L004499,S0242,J029,0.3401,2.09,-1.11,8,0.8,0.0
L004500,S0070,J047,0.1439,1.66,-1.98,2,1.0,0.0794
L004501,S0093,J008,0.6036,3.671,0.03,8,1.2,0.0823
L004502,S0077,J015,0.662,3.51,0.57,7,2.0,0.0806
L004503,S0181,J026,0.7009,3.546,0.71,3,1.0,0.0728
L004504,S0165,J028,0.6729,2.247,0.08,7,1.4,0.1336
L004505,S0216,J013,0.5563,3.356,-0.19,8,2.5,0.0914
L004506,S0196,J003,0.8922,4.108,2.18,6,1.5,0.0559
L004507,S0092,J001,0.0424,0.971,-2.75,2,2.4,0.0424
L004508,S0124,J021,0.1862,2.847,-1.8,8,2.3,0.0944
L004509,S0085,J042,0.6201,2.325,0.08,3,2.2,0.0896
L004510,S0259,J046,0.8613,2.796,0.84,5,2.1,0.1119
L004511,S0221,J033,0.7842,3.832,1.22,5,1.6,0.0244
L004512,S0164,J022,0.7031,3.978,0.75,2,2.0,0.0567
L004513,S0164,J003,0.8615,3.95,2.05,2,2.0,0.0
L004514,S0110,J012,0.7837,4.267,0.9,3,1.4,0.133
L004515,S0088,J012,0.2871,1.685,-1.66,4,0.6,0.0892
L004516,S0186,J018,0.5642,3.551,0.21,7,2.2,0.0813
L004517,S0064,J012,0.5944,3.585,0.26,3,2.0,0.0499
L004518,S0189,J040,0.5588,3.07,0.37,3,0.9,0.0
L004519,S0068,J019,0.6861,2.938,0.29,6,2.1,0.0957
L004520,S0180,J037,0.5271,3.723,0.08,3,1.0,0.0862
L004521,S0150,J006,0.848,3.61,1.91,7,1.4,0.0
L004522,S0006,J012,0.4056,2.167,-1.16,7,2.5,0.0539
L004523,S0029,J007,0.9052,3.647,1.41,5,3.5,0.0748
L004524,S0249,J023,0.5749,3.043,0.52,8,1.8,0.0454
L004525,S0251,J011,0.5087,3.983,-0.33,4,1.5,0.0264
L004526,S0190,J020,0.6531,2.593,0.26,7,0.0,0.0655
L004527,S0043,J045,0.2986,2.65,-1.05,4,1.9,0.0
L004528,S0197,J007,0.7189,3.021,0.81,4,2.5,0.0218
L004529,S0085,J003,0.6161,2.337,0.38,3,2.2,0.1137
L004530,S0009,J002,0.4108,2.094,-1.14,8,1.9,0.0674
L004531,S0018,J025,0.4422,2.66,-0.24,8,2.1,0.0
L004532,S0225,J039,0.5672,3.349,-0.32,7,0.3,0.1383
L004533,S0045,J031,0.5028,3.274,-0.08,4,1.4,0.1089
L004534,S0136,J033,0.5533,2.99,0.39,8,0.6,0.0
L004535,S0148,J030,0.5417,4.204,-0.13,4,1.4,0.0675
L004536,S0191,J040,0.4554,2.005,-0.72,6,0.4,0.0496
L004537,S0102,J030,0.2517,2.87,-1.43,4,2.9,0.0
L004538,S0052,J040,0.3417,1.116,-1.63,2,2.6,0.0928
L004539,S0085,J009,0.3316,2.307,-0.92,3,2.2,0.0543
L004540,S0176,J017,0.7667,4.64,1.34,7,0.4,0.0
L004541,S0114,J015,0.5346,2.838,-0.1,7,1.4,0.076
L004542,S0076,J009,0.3975,2.165,-1.08,2,2.4,0.0908
L004543,S0215,J042,0.75,3.419,1.21,6,2.7,0.0176
L004544,S0160,J037,0.7453,3.738,0.05,2,1.5,0.1761
L004545,S0063,J015,0.4136,1.842,-1.1,3,0.3,0.0845
L004546,S0133,J042,0.7509,3.033,0.79,6,2.7,0.0857
L004547,S0269,J035,0.9563,5.043,2.2,6,0.0,0.0857
L004548,S0189,J033,0.5478,3.07,0.47,3,0.9,0.0
L004549,S0275,J012,0.6285,3.752,0.43,3,0.7,0.0446
L004550,S0148,J000,0.8104,4.23,0.97,4,1.4,0.1206
L004551,S0091,J013,0.404,2.61,-0.92,8,1.6,0.0601
L004552,S0214,J047,0.3666,2.051,-1.6,2,2.0,0.1012
L004553,S0251,J005,0.7494,4.035,0.47,4,1.5,0.1293
L004554,S0137,J017,0.4087,2.83,-0.47,4,1.2,0.0
L004555,S0108,J009,0.3719,2.62,-0.58,4,1.0,0.0
L004556,S0030,J015,0.5483,3.372,0.46,5,0.4,0.0231
L004557,S0004,J015,0.4033,2.1,-0.83,4,1.5,0.06
L004558,S0106,J019,0.5485,2.61,-0.02,4,0.8,0.0603
L004559,S0018,J043,0.2397,2.696,-1.24,8,2.1,0.0727
L004560,S0076,J009,0.5414,2.171,-1.08,2,2.4,0.1028
L004561,S0125,J036,0.5002,2.213,-0.52,2,2.3,0.0664
L004562,S0231,J029,0.4274,2.796,-0.46,6,1.0,0.1114
L004563,S0122,J025,0.4649,2.84,-0.06,3,1.9,0.0
L004564,S0057,J028,0.6319,2.794,0.65,2,1.4,0.0886
L004565,S0249,J045,0.3944,3.02,-0.68,8,1.8,0.0
L004566,S0103,J008,0.5847,3.684,0.05,5,1.4,0.0675
L004567,S0184,J040,0.7749,3.54,0.81,4,3.3,0.0597
L004568,S0098,J046,0.8686,3.327,1.38,3,0.9,0.0932
L004569,S0036,J022,0.5805,3.387,0.16,2,1.4,0.0544
L004570,S0016,J020,0.4532,1.707,-0.62,4,0.7,0.0545
L004571,S0164,J037,0.7529,4.023,0.35,2,2.0,0.1466
L004572,S0057,J012,0.4715,2.796,-0.55,2,1.4,0.0922
L004573,S0295,J024,0.636,3.631,-0.02,8,2.5,0.1017
L004574,S0081,J047,0.6272,4.017,0.37,4,2.1,0.0938
L004575,S0192,J017,0.6685,4.369,1.05,5,0.1,0.0383
L004576,S0161,J036,0.4905,1.738,-1.0,7,0.4,0.0751
L004577,S0120,J022,0.2929,2.252,-0.97,8,1.5,0.0448
L004578,S0010,J005,0.3434,2.347,-1.17,6,1.1,0.0335
L004579,S0146,J012,0.2887,1.831,-1.5,7,0.6,0.0613
L004580,S0109,J000,0.669,3.678,0.43,2,2.6,0.0969
L004581,S0010,J035,0.4652,2.33,-0.47,6,1.1,0.0
L004582,S0070,J000,0.1203,1.62,-1.58,2,1.0,0.0
L004583,S0261,J043,0.6766,4.487,0.57,2,1.7,0.0336
L004584,S0143,J044,0.3707,2.931,-0.98,8,2.9,0.022
L004585,S0265,J002,0.779,4.463,1.2,6,2.2,0.1269
L004586,S0002,J037,0.5479,3.339,-0.31,4,0.0,0.0979
L004587,S0200,J043,0.3332,3.355,-0.58,7,0.8,0.0699
L004588,S0168,J005,0.6762,3.805,0.24,7,1.3,0.1303
L004589,S0116,J010,0.2214,1.234,-2.1,3,2.9,0.0679
L004590,S0067,J043,0.2766,2.761,-1.17,3,1.5,0.0611
L004591,S0258,J033,0.4545,2.308,-0.32,5,0.0,0.0559
L004592,S0203,J017,0.4213,2.96,-0.34,6,1.0,0.0
L004593,S0217,J018,0.1637,1.59,-1.73,7,0.7,0.0397
L004594,S0220,J014,0.3279,3.899,-1.05,8,2.3,0.0986
L004595,S0108,J030,0.3292,2.666,-1.68,4,1.0,0.0915
L004596,S0273,J036,0.6595,2.773,0.01,4,1.0,0.1268
L004597,S0170,J007,0.8976,3.469,1.21,3,3.0,0.1184
L004598,S0177,J000,0.8322,4.453,1.23,2,1.1,0.0467
L004599,S0242,J005,0.3602,2.131,-1.41,8,0.8,0.0825
L004600,S0204,J003,0.8088,2.966,1.04,6,1.9,0.0521
L004601,S0266,J036,0.5572,2.97,0.23,2,1.6,0.0796
L004602,S0147,J026,0.4948,2.26,-0.54,7,0.0,0.0
L004603,S0266,J003,0.711,2.985,1.03,2,1.6,0.1106
L004604,S0287,J023,0.6735,2.492,-0.05,3,2.1,0.0846
L004605,S0170,J023,0.7345,3.457,0.91,3,3.0,0.0939
L004606,S0152,J045,0.2601,2.1,-1.6,7,0.9,0.0
L004607,S0292,J024,0.4965,3.014,-0.64,3,1.3,0.1079
L004608,S0059,J006,0.7463,2.89,1.15,8,1.5,0.0795
L004609,S0289,J020,0.5361,1.93,-0.37,2,1.8,0.0
L004610,S0066,J033,0.589,3.163,0.54,6,1.0,0.0463
L004611,S0155,J001,0.557,3.489,-0.26,4,1.8,0.0984
L004612,S0276,J048,0.3802,3.02,-0.28,3,1.5,0.0
L004613,S0076,J028,0.5562,2.156,0.02,2,2.4,0.0727
L004614,S0132,J034,0.7807,3.574,0.82,8,1.5,0.1086
L004615,S0294,J042,0.6436,2.259,-0.01,8,0.3,0.1387
L004616,S0208,J022,0.6683,3.258,0.0,6,0.6,0.1157
L004617,S0270,J014,0.3385,3.718,-1.22,4,1.7,0.0757
L004618,S0049,J042,0.7009,2.713,0.47,7,0.2,0.0861
L004619,S0232,J045,0.4182,3.199,-0.53,3,2.1,0.0585
L004620,S0035,J018,0.2828,1.867,-1.44,3,1.9,0.0147
L004621,S0089,J044,0.1406,1.749,-2.19,3,1.3,0.0779
L004622,S0161,J038,0.5277,1.751,-0.1,7,0.4,0.102
L004623,S0072,J038,0.7328,2.743,0.89,3,2.8,0.1067
L004624,S0201,J002,0.6468,3.106,-0.15,5,1.9,0.1119
L004625,S0178,J001,0.64,3.97,0.21,5,1.8,0.1209
L004626,S0104,J009,0.5964,3.531,0.3,7,1.3,0.0626
L004627,S0105,J032,0.7073,4.012,1.3,5,0.0,0.0243
L004628,S0057,J022,0.5653,2.791,-0.45,2,1.4,0.0821
L004629,S0077,J030,0.408,3.496,-0.83,7,2.0,0.052
L004630,S0058,J045,0.3406,2.77,-0.93,3,1.8,0.0
L004631,S0233,J014,0.3387,2.902,-2.06,4,1.5,0.1246
L004632,S0038,J041,0.3578,2.006,-1.33,4,1.1,0.0729
L004633,S0133,J046,0.7444,3.027,1.09,6,2.7,0.0737
L004634,S0256,J042,0.601,2.738,0.5,6,2.5,0.0754
L004635,S0044,J015,0.5759,3.03,0.13,7,2.7,0.0
L004636,S0046,J012,0.4682,2.544,-0.8,7,1.3,0.0881
L004637,S0177,J016,0.9965,4.473,2.03,2,1.1,0.0862
L004638,S0049,J030,0.1933,2.67,-1.63,7,0.2,0.0
L004639,S0023,J031,0.4459,3.41,0.11,2,1.9,0.0
L004640,S0042,J043,0.7655,4.216,0.26,7,0.6,0.1121
L004641,S0195,J008,0.4987,3.212,-0.4,8,2.6,0.0246
L004642,S0228,J002,0.5863,3.88,0.68,5,0.9,0.0
L004643,S0106,J035,0.5456,2.656,-0.22,4,0.8,0.1512
L004644,S0255,J024,0.3649,2.135,-1.5,4,1.3,0.0703
L004645,S0106,J030,0.2797,2.626,-1.72,4,0.8,0.0928
L004646,S0057,J028,0.6648,2.792,0.65,2,1.4,0.0847
L004647,S0020,J003,0.8229,3.683,1.75,3,0.9,0.0668
L004648,S0102,J032,0.4926,2.886,0.17,4,2.9,0.0324
L004649,S0177,J001,0.7979,4.483,0.73,2,1.1,0.1059
L004650,S0075,J026,0.8955,4.355,1.53,6,2.5,0.0491
L004651,S0034,J012,0.47,3.19,-0.11,5,1.6,0.0
L004652,S0183,J045,0.6651,4.054,0.3,2,0.8,0.1081
L004653,S0012,J035,0.9802,4.354,1.49,4,2.3,0.1271
L004654,S0260,J047,0.7239,4.171,0.54,3,1.5,0.0615
L004655,S0138,J029,0.4274,2.072,-1.17,5,1.3,0.0841
L004656,S0238,J010,0.5612,3.29,-0.05,7,2.1,0.081
L004657,S0258,J009,0.4346,2.348,-0.92,5,0.0,0.1354
L004658,S0282,J005,0.5701,3.583,0.03,8,0.7,0.107
L004659,S0100,J026,0.6469,3.37,0.54,5,1.4,0.0603
L004660,S0282,J000,0.5293,3.53,0.33,8,0.7,0.0
L004661,S0069,J028,0.8887,3.513,1.39,4,1.6,0.0467
L004662,S0073,J032,0.8614,4.52,1.78,3,1.9,0.0793
L004663,S0135,J039,0.3812,2.216,-1.43,5,0.4,0.0921
L004664,S0184,J044,0.5664,3.546,-0.39,4,3.3,0.0714
L004665,S0060,J018,0.3567,2.154,-1.19,7,1.6,0.0876
L004666,S0291,J037,0.404,2.562,-1.07,3,3.0,0.0645
L004667,S0257,J037,0.3603,2.45,-1.2,4,0.0,0.1005
L004668,S0020,J019,0.7744,3.677,1.05,3,0.9,0.0532
L004669,S0251,J030,0.5307,4.017,-0.33,4,1.5,0.0943
L004670,S0127,J007,0.9764,3.87,1.64,2,2.3,0.0607
L004671,S0083,J047,0.2096,1.675,-1.95,5,0.9,0.0492
L004672,S0189,J027,0.3839,3.108,-0.33,3,0.9,0.0755
L004673,S0062,J004,0.6549,3.434,0.52,4,0.4,0.0273
L004674,S0107,J000,0.506,2.714,-0.55,2,1.3,0.127
L004675,S0027,J016,0.6539,2.54,0.09,6,1.3,0.1009
L004676,S0271,J026,0.4784,2.464,-0.37,2,2.2,0.068
L004677,S0013,J044,0.1312,2.055,-1.88,8,1.1,0.07
L004678,S0090,J038,0.8638,3.39,1.59,2,1.6,0.0
L004679,S0205,J011,0.6121,4.473,0.14,6,2.0,0.0658
L004680,S0028,J031,0.606,3.462,0.13,4,1.6,0.0635
L004681,S0270,J045,0.5206,3.698,-0.02,4,1.7,0.0365
L004682,S0227,J043,0.5742,4.088,0.13,8,2.7,0.1156
L004683,S0034,J015,0.6444,3.235,0.29,5,1.6,0.0902
L004684,S0029,J015,0.7655,3.657,0.71,5,3.5,0.0949
L004685,S0220,J018,0.616,3.872,0.55,8,2.3,0.0442
L004686,S0103,J002,0.7077,3.686,0.45,5,1.4,0.0724
L004687,S0193,J005,0.7369,4.446,0.88,4,0.0,0.1314
L004688,S0084,J005,0.5206,3.036,-0.51,7,2.5,0.0916
L004689,S0094,J016,0.6179,3.239,0.82,2,1.8,0.0387
L004690,S0113,J019,0.7793,3.285,0.65,5,1.5,0.0694
L004691,S0128,J034,0.4941,2.258,-0.48,3,1.7,0.0767
L004692,S0085,J000,0.3141,2.28,-0.92,3,2.2,0.0
L004693,S0209,J007,0.7372,3.074,0.84,8,1.6,0.0675
L004694,S0299,J045,0.36,2.99,-0.71,5,0.2,0.0
L004695,S0201,J019,0.5947,3.094,0.45,5,1.9,0.088
L004696,S0229,J020,0.5694,2.89,0.59,5,1.7,0.0
L004697,S0194,J039,0.593,4.097,0.49,3,0.5,0.0142
L004698,S0001,J006,0.656,2.824,1.1,4,1.2,0.0474
L004699,S0116,J045,0.084,1.242,-2.5,3,2.9,0.084
L004700,S0011,J036,0.5991,3.211,0.49,8,1.5,0.0429
L004701,S0215,J011,0.4289,3.473,-0.89,6,2.7,0.1267
L004702,S0232,J022,0.5608,3.205,-0.03,3,2.1,0.0698
L004703,S0037,J037,0.3259,2.4,-1.25,7,2.7,0.1
L004704,S0142,J045,0.3005,2.234,-1.52,7,3.5,0.1078
L004705,S0292,J009,0.4607,2.991,-0.24,3,1.3,0.0618
L004706,S0230,J038,0.6021,2.019,0.2,7,0.9,0.037
L004707,S0045,J041,0.502,3.259,-0.08,4,1.4,0.0783
L004708,S0153,J000,0.6165,3.36,0.16,8,1.6,0.0
L004709,S0093,J044,0.5694,3.675,-0.27,8,1.2,0.0894
L004710,S0106,J038,0.7723,2.621,0.78,4,0.8,0.0811
L004711,S0115,J041,0.5923,3.794,0.46,8,1.5,0.0688
L004712,S0196,J005,0.6621,4.123,0.58,6,1.5,0.0857
L004713,S0199,J005,0.3489,2.183,-1.37,7,2.1,0.1057
L004714,S0265,J031,0.7085,4.4,1.1,6,2.2,0.0
L004715,S0198,J029,0.5775,3.203,-0.04,4,1.8,0.0862
L004716,S0065,J011,0.645,4.674,0.34,7,1.3,0.0672
L004717,S0111,J000,0.5468,2.678,-0.57,8,2.5,0.096
L004718,S0094,J002,0.5124,3.277,0.02,2,1.8,0.1148
L004719,S0055,J004,0.5312,2.704,-0.22,8,2.6,0.0488
L004720,S0291,J013,0.3394,2.53,-0.97,3,3.0,0.0
L004721,S0116,J029,0.2,1.229,-2.0,3,2.9,0.0572
L004722,S0167,J015,0.6678,3.129,0.18,7,2.3,0.0989
L004723,S0251,J032,0.8282,4.015,1.27,4,1.5,0.0903
L004724,S0278,J047,0.4488,3.06,-0.59,8,2.0,0.1006
L004725,S0208,J043,0.4834,3.242,-0.7,6,0.6,0.0831
L004726,S0165,J000,0.4432,2.232,-1.02,7,1.4,0.1049
L004727,S0050,J019,0.9123,4.149,1.49,2,0.8,0.1188
L004728,S0229,J026,0.5093,2.916,0.09,5,1.7,0.0529
L004729,S0027,J002,0.4482,2.526,-0.71,6,1.3,0.0722
L004730,S0043,J036,0.4904,2.65,-0.05,4,1.9,0.0
L004731,S0160,J049,0.9252,3.7,1.75,2,1.5,0.1006
L004732,S0248,J025,0.5548,3.067,0.12,7,1.2,0.0943
L004733,S0269,J030,0.6365,5.0,0.7,6,0.0,0.0
L004734,S0129,J025,0.5173,2.358,-0.63,8,1.1,0.1768
L004735,S0042,J032,0.8929,4.2,1.46,7,0.6,0.081
L004736,S0122,J017,0.5295,2.88,-0.46,3,1.9,0.0809
L004737,S0296,J016,0.6358,3.05,0.65,7,0.9,0.0
L004738,S0055,J029,0.5022,2.724,-0.52,8,2.6,0.0877
L004739,S0110,J035,0.8214,4.226,1.4,3,1.4,0.0511
L004740,S0063,J034,0.3601,1.829,-0.9,3,0.3,0.0573
L004741,S0122,J039,0.406,2.84,-0.76,3,1.9,0.0
L004742,S0005,J035,0.6459,2.82,-0.04,8,2.3,0.1195
L004743,S0198,J049,0.9151,3.232,1.26,4,1.8,0.1446
L004744,S0139,J023,0.4788,1.786,-0.75,5,0.3,0.0724
L004745,S0228,J033,0.8328,3.905,1.28,5,0.9,0.0509
L004746,S0228,J027,0.5766,3.88,0.48,5,0.9,0.0
L004747,S0244,J045,0.6314,4.186,0.45,3,2.0,0.0726
L004748,S0296,J030,0.3377,3.08,-1.25,7,0.9,0.0609
L004749,S0229,J030,0.2823,2.911,-1.41,5,1.7,0.0413
L004750,S0086,J000,0.5556,2.788,-0.47,4,2.7,0.1157
L004751,S0090,J020,0.7897,3.39,1.09,2,1.6,0.0
L004752,S0214,J041,0.4161,2.054,-1.3,2,2.0,0.1076
L004753,S0235,J037,0.5013,3.26,-0.4,8,1.1,0.1199
L004754,S0158,J008,0.5616,3.183,-0.47,8,0.9,0.1055
L004755,S0080,J049,0.8896,3.195,1.24,7,0.6,0.1106
L004756,S0228,J023,0.7993,3.88,1.38,5,0.9,0.0
L004757,S0287,J003,0.6852,2.478,0.55,3,2.1,0.057
L004758,S0205,J044,0.7528,4.483,0.54,6,2.0,0.0855
L004759,S0013,J040,0.4633,2.058,-0.68,8,1.1,0.0758
L004760,S0038,J012,0.3732,2.035,-1.33,4,1.1,0.1295
L004761,S0059,J002,0.6437,2.904,-0.35,8,1.5,0.1082
L004762,S0244,J033,0.8932,4.19,1.55,3,2.0,0.0801
L004763,S0007,J009,0.5501,3.574,0.37,8,1.7,0.007
L004764,S0169,J032,1.0,4.5,1.74,3,2.1,0.1204
L004765,S0157,J013,0.4425,3.22,-0.28,2,2.2,0.0
L004766,S0294,J026,0.445,2.19,-0.61,8,0.3,0.0
L004767,S0248,J034,0.7185,3.046,0.32,7,1.2,0.053
L004768,S0293,J005,0.5409,3.252,-0.28,6,1.8,0.0633
L004769,S0044,J025,0.5812,3.081,0.13,7,2.7,0.1012
L004770,S0235,J017,0.6631,3.262,-0.1,8,1.1,0.1244
L004771,S0201,J028,0.6565,3.065,0.95,5,1.9,0.0298
L004772,S0235,J023,0.7465,3.249,0.7,8,1.1,0.0972
L004773,S0166,J026,0.467,1.567,-1.29,6,2.7,0.1141
L004774,S0052,J023,0.2367,1.109,-1.43,2,2.6,0.0777
L004775,S0057,J013,0.3049,2.75,-0.75,2,1.4,0.0
L004776,S0171,J022,0.4101,2.731,-0.5,8,3.1,0.0615
L004777,S0293,J031,0.5869,3.243,-0.08,6,1.8,0.0467
L004778,S0061,J020,0.8741,3.525,1.16,2,1.2,0.1303
L004779,S0150,J021,0.2914,3.61,-0.99,7,1.4,0.0
L004780,S0247,J012,0.3047,1.55,-1.79,5,2.7,0.0792
L004781,S0243,J006,0.8334,2.667,0.92,5,2.0,0.0939
L004782,S0292,J040,0.7055,3.021,0.26,3,1.3,0.1211
L004783,S0257,J018,0.4703,2.453,-0.9,4,0.0,0.1068
L004784,S0062,J047,0.4885,3.42,-0.18,4,0.4,0.0
L004785,S0064,J019,0.717,3.56,0.96,3,2.0,0.0
L004786,S0085,J041,0.3585,2.323,-1.02,3,2.2,0.0861
L004787,S0258,J038,0.6383,2.321,0.48,5,0.0,0.0822
L004788,S0077,J033,0.6515,3.492,0.87,7,2.0,0.0435
L004789,S0230,J039,0.2652,2.029,-1.6,7,0.9,0.0582
L004790,S0189,J037,0.5173,3.127,-0.53,3,0.9,0.1137
L004791,S0117,J022,0.4722,2.369,-0.86,3,0.0,0.0587
L004792,S0208,J030,0.5195,3.263,-1.1,6,0.6,0.1264
L004793,S0094,J029,0.5597,3.22,0.02,2,1.8,0.0
L004794,S0249,J027,0.4802,3.053,-0.38,8,1.8,0.066
L004795,S0119,J029,0.1687,1.14,-2.06,5,1.1,0.0
L004796,S0045,J038,0.9561,3.292,1.42,4,1.4,0.1441
L004797,S0110,J019,0.7545,4.207,1.6,3,1.4,0.0141
L004798,S0006,J022,0.4751,2.168,-1.06,7,2.5,0.0567
L004799,S0069,J008,0.4736,3.49,-0.11,4,1.6,0.0
L004800,S0250,J001,0.3865,2.926,-0.79,4,1.0,0.0311
L004801,S0234,J048,0.5253,2.618,-0.76,4,2.9,0.1561
L004802,S0015,J036,0.8273,4.46,1.76,2,2.0,0.0
L004803,S0247,J014,0.0231,1.522,-3.39,5,2.7,0.0231
L004804,S0106,J031,0.3905,2.609,-0.72,4,0.8,0.0581
L004805,S0245,J033,0.3778,2.07,-0.53,7,2.0,0.0
L004806,S0164,J040,0.75,3.99,1.25,2,2.0,0.0809
L004807,S0021,J014,0.2547,3.238,-1.71,5,0.8,0.0953
L004808,S0006,J018,0.402,2.19,-1.16,7,2.5,0.0991
L004809,S0196,J015,0.6851,4.109,1.18,6,1.5,0.0579
L004810,S0091,J030,0.1942,2.597,-1.72,8,1.6,0.0335
L004811,S0033,J010,0.3572,2.17,-1.13,3,1.8,0.0
L004812,S0118,J003,0.6952,2.433,0.47,4,0.0,0.1259
L004813,S0154,J002,0.5136,3.077,-0.15,6,1.8,0.0531
L004814,S0006,J033,0.4387,2.191,-0.46,7,2.5,0.1026
L004815,S0072,J036,0.6121,2.714,-0.01,3,2.8,0.0482
L004816,S0035,J048,0.3519,1.879,-1.44,3,1.9,0.0372
L004817,S0286,J018,0.4998,3.111,-0.23,8,0.6,0.0815
L004818,S0132,J011,0.5871,3.563,-0.78,8,1.5,0.0864
L004819,S0183,J005,0.7099,4.037,0.5,2,0.8,0.0736
L004820,S0079,J019,0.5068,2.3,-0.3,8,1.9,0.0
L004821,S0038,J020,0.502,2.021,-0.33,4,1.1,0.1015
L004822,S0112,J029,0.3912,2.66,-0.54,2,1.5,0.0
L004823,S0115,J029,0.6836,3.808,0.56,8,1.5,0.0963
L004824,S0018,J001,0.3661,2.706,-1.04,8,2.1,0.0928
L004825,S0104,J045,0.4847,3.525,-0.2,7,1.3,0.05
L004826,S0037,J011,0.1635,2.35,-1.95,7,2.7,0.0
L004827,S0130,J028,0.7334,3.45,1.35,2,2.1,0.0
L004828,S0161,J024,0.3408,1.764,-1.9,7,0.4,0.1274
L004829,S0231,J042,0.6292,2.803,0.54,6,1.0,0.1251
L004830,S0055,J018,0.5761,2.756,-0.62,8,2.6,0.1516
L004831,S0246,J011,0.0634,1.342,-2.99,6,2.7,0.0634
L004832,S0130,J046,0.8093,3.488,1.55,2,2.1,0.0751
L004833,S0126,J039,0.5114,3.009,-0.65,4,1.6,0.1184
L004834,S0040,J037,0.4498,3.221,-0.41,5,1.0,0.0628
L004835,S0008,J013,0.6402,4.6,1.1,2,1.1,0.0
L004836,S0230,J027,0.2518,2.039,-1.4,7,0.9,0.0778
L004837,S0150,J007,0.7726,3.638,1.41,7,1.4,0.0559
L004838,S0021,J043,0.4092,3.234,-0.71,5,0.8,0.0887
L004839,S0234,J048,0.4213,2.591,-0.76,4,2.9,0.103
L004840,S0273,J039,0.5519,2.756,-0.89,4,1.0,0.0922
L004841,S0239,J047,0.406,2.696,-0.92,7,1.1,0.0318
L004842,S0107,J048,0.3997,2.65,-0.65,2,1.3,0.0
L004843,S0212,J044,0.3932,2.936,-1.02,5,1.5,0.1124
L004844,S0280,J036,0.6907,3.395,0.64,7,1.3,0.1109
L004845,S0058,J011,0.3128,2.793,-1.53,3,1.8,0.047
L004846,S0242,J016,0.5704,2.131,-0.31,8,0.8,0.0817
L004847,S0019,J034,0.5202,2.608,-0.12,4,1.6,0.0564
L004848,S0028,J034,0.7434,3.465,0.73,4,1.6,0.0708
L004849,S0190,J014,0.087,2.594,-2.34,7,0.0,0.0671
L004850,S0219,J045,0.5907,3.828,0.1,2,1.1,0.0553
L004851,S0102,J047,0.4486,2.885,-0.73,4,2.9,0.0294
L004852,S0183,J022,0.7642,4.058,0.8,2,0.8,0.1169
L004853,S0224,J038,0.6128,2.177,0.33,7,1.4,0.093
